7395,-105,-16076,4749,-179
5295,-557,-16964,4874,-177
4175,-661,-17164,4826,-177
2679,-121,-16640,4765,-177
-72,-733,-17468,4881,-178
-1092,-401,-17016,4596,-176
-2228,-1565,-16472,4904,-176
-3328,466,-16292,4984,-178
-6968,-1213,-15000,4802,-175
-6788,-1313,-13508,4747,-175
-8952,-833,-13712,4865,-174
-11016,-953,-10704,4714,-175
-12004,-2025,-10704,4640,-169
-12352,-1213,-8320,4803,-168
-13708,-1377,-7140,4717,-170
-14012,-2089,-5548,4669,-161
-14244,-1821,-3988,4717,-151
-14484,-1925,-2884,4938,-138
-14148,-2173,507,4773,-125
-14052,-2209,1703,4807,-66
-14676,-2673,3555,4962,-38
-14292,-2361,4931,4793,-31
-13404,-2449,7183,4950,-23
-12140,-2377,8123,4948,-18
-12164,-2333,10631,4770,-11
-10384,-2005,10603,4776,-10
-8508,-2433,11407,4775,-12
-7408,-2461,13615,4848,-11
-6636,-2705,14295,4746,-10
-5108,-2757,15051,4730,-11
-2368,-2641,14967,4933,-9
-908,-2457,14747,4853,-9
-480,-2181,17275,4812,-8
1939,-2801,15915,4763,-8
4055,-1989,16175,4724,-7
5751,-1397,15907,4961,-5
6887,-1489,14683,4816,-8
8891,-2065,14719,4761,-8
11339,-1721,13723,4963,-5
11383,-2049,13015,4657,-5
12451,-1377,13247,4907,-7
13867,-1445,10183,4663,-12
15443,-377,7943,4785,-4
16347,-1261,8199,4661,-4
16871,-785,4463,4591,-7
17819,-769,4151,4577,-8
18179,-445,2183,4886,-12
16959,-697,391,4733,-50
18387,-433,-1688,4744,-172
17687,-117,-3304,4611,-164
18327,-393,-3924,4856,-172
16671,-633,-5772,4774,-172
16187,-153,-9032,4719,179
16043,-849,-8976,4772,-175
14599,-493,-10676,4828,-174
13015,-73,-11492,4849,-179
12127,14,-12948,4812,-177
10447,-493,-14756,4725,-178
9307,-449,-14688,4636,-179
7791,686,-16580,4885,178
5631,-709,-17540,4759,-176
4335,-661,-16664,4782,-179
3019,-417,-17200,4917,-179
511,-773,-17708,4786,-177
-992,-229,-16716,4737,-178
-2968,-213,-17108,5002,-178
-4248,-1701,-15316,4840,-178
-6348,-1553,-14484,4828,-174
-7032,-841,-14828,4757,-174
-9332,-1589,-12892,4833,-172
-10472,-1221,-11624,5049,-171
-12672,-1357,-10800,4829,-171
-12380,-1757,-8200,4768,-168
-13196,-1553,-7268,4818,-165
-13448,-2317,-5296,4832,-158
-13904,-1957,-2772,4754,-154
-14864,-2409,-3108,4855,-128
-14184,-2521,-40,4823,-129
-15380,-2573,843,4803,-57
-14596,-2397,3167,4834,-39
-13920,-1985,4695,4872,-30
-13472,-2557,6707,4963,-19
-12220,-2413,8175,4780,-17
-12320,-2453,10171,4666,-15
-11048,-3245,11135,4884,-14
-8984,-2709,11667,4749,-12
-7388,-2421,13195,4844,-10
-6940,-3261,13607,4792,-12
-5004,-2573,14615,4609,-10
-2596,-2905,15703,4877,-9
-440,-2257,15291,4747,-7
-648,-1649,16551,4913,-7
475,-2225,15951,4809,-7
3807,-1553,15731,4769,-5
5975,-1585,16015,4944,-5
6635,-2045,14687,4804,-7
9055,-1929,15343,4760,-5
11223,-1553,12831,4769,-6
10811,-1353,12675,4821,-4
12895,-993,12163,4878,-3
13531,-1125,8995,4546,-9
15539,-861,9555,4839,-3
16039,-841,8399,4750,-5
16247,-653,4583,4522,-7
18123,-165,3719,4509,-7
18831,-1393,1951,4929,-8
16875,-1029,1211,4571,-98
19127,66,-3092,4750,164
16491,-805,-2124,4686,177
17747,-609,-3872,4745,-168
16395,-957,-6392,4835,179
16695,-69,-7020,4622,-176
16527,-997,-9592,4783,-175
14431,246,-10532,4740,178
13947,478,-12548,4809,-179
12367,-153,-13400,4567,179
10719,-273,-13776,4759,-179
9463,-573,-15644,4617,-179
7751,-85,-16024,4835,-179
7059,-453,-16104,4842,-179
4527,-389,-16940,4746,-178
2795,-497,-17356,4830,-179
1599,-989,-17956,4760,-177
-508,-1365,-16396,4839,-177
-2396,-817,-17552,4752,-177
-3412,-565,-15904,4588,-178
